text,label
Trabajar en #Ryanair como #TMA: https://t.co/ruUArBe1tO #empleo,1
@Iberia @FIONAFERRER Cuando gusten en Cancún se viaja y disfruta de manera sin igual,1
"Sabiais que @Iberia te trata muy bien en santiago de chile?Te cambia el asiento,te manda a volar en el wc trasero,e… https://t.co/uansbOnn69",0
"NUNCA NUNCA NUNCA pidáis el café de Ryanair.
Bueno, nada que vendan a bordo.",0
@cris_tortu @dakar @Iberia @Mitsubishi_ES @BFGoodrichEU @BurgosTur @ASTIntlogistics @Uremovil @karbium Muchos éxito… https://t.co/Ed9VrKyVU7,1
"@mgd_1970 Wow que bonito , yo solo he volado unas 3 o 4 veces en un 747 de @Iberia y siempre fue a tu tierra :)",1
Iberia Plus cumple 25 años. Queremos celebrarlo contigo de una manera muy especial. Elige tu número favorito y... ¡… https://t.co/WuuJr2dOGE,1
Barómetro #Business: Iberia (57%) y Vueling (61%) son las compañías aéreas más utilizadas en los #viajes de… https://t.co/jl80ib9JYr,1
@Iberia Felicitaciones IBERIA!,1
"@cbellolio @Iberia @NuevoPudahuel Chuata, yo tengo un Madrid - Stgo en un par de semanas. Habrá que cruzar los dedos!",1
"Disponibilidad aérea Internacional en los siguientes destinos:
 ✈ARGENTINA-GOL AIRLINES 600$
 ✈MADRID-IBERIA AIRLIN… https://t.co/jjIvKQBEaS",1
Ahora... https://t.co/f3pEPIg2OI,1
"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaArgentina. Hola 79 destinos europeos al mejor precio https://t.co/uOlJ07jA3l",1
"Air France KLM, al igual que Iberia, eliminó la duplicidad de avales de las agencias | Nexotur https://t.co/zHSwQ0B4ZB",1
Un año de estos nos unirán con el resto de iberia. ¿No decían en Cataluña que el AVE en Galicia no era rentable? https://t.co/qDPzFbc5oT,0
@Alpaniagu Lo de ryanair es penoso...yo sólo viajo con ellos si no tengo otra alternativa...,0
"@Iberia Además, he intentado hacer d nuevo la compracon otra tarjeta y no me lo permite aunq en la tarjeta tenga di… https://t.co/ik1qsMfrrE",0
"@algoqrecordar @Iberia  @viajarlocura @lacosmopolilla   @WanderlustTB @TragaViajes  Una suerte poder volar, pero especialmente aterrizar 👉✌😜",1
La mejor foto tecnológica del año 2017 https://t.co/c2gDhu1Fe3 #WomenInTechSpain #redhat @juliaberp_julia Red Hat Iberia Country Manager,1
"📉 🔥 ¡Chollo! Maleta Aerolite barata por sólo 37,99 € Enlace: https://t.co/4lfu1HSkgP",1
OMG! 🤯 Estoy viendo que Iberia tiene en agosto vuelo directo a San Francisco (y vuelta) y mi corazón está saltando… https://t.co/dGK936alSu,1
@javidevicalvaro Iberia es la ETA Militar de las aerolineas. Mis peores experiencias han sido todas con ellos,0
@andreaesv Hola Andrea. Mi pareja ya tiene sentencia firme por el abandono de Iberia en Praga. Le han indemnizado c… https://t.co/88aFwsY9G6,0
"@flandivar @quiz_viajero llegando a #Málaga por #Ryanair, nos pusieron una musiquita por el altavoz que nos encenti… https://t.co/rV5DNhaJGW",0
"@Iberia @Renfe Finalmente @renfe tuvo que proporcionarme una autorización para viajar, pero esto es lamentable y me… https://t.co/2ezAZOFqqO",0
"@Iberia Pues la verdad es que no. Pocas explicaciones, ninguna alternativa tenida en cuenta, etc. Dejando mucho que desear.",0
"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaArgentina. Hola 79 destinos europeos al mejor precio https://t.co/yNgJabJbSg",1
En @Iberia ofrecen un 10% de descuento a los asistentes a #GijónSeCome con el código de descuento IIGIJONSECOME https://t.co/PAx6DHfUuL,1
"@Iberia Hice una compra de pasaje y nunca llegó el mail con la confirmación, si bien figura la reserva ingresando e… https://t.co/m2sthY43us",0
@Iberia Acabo de venir del mostrador de Atención al cliente donde me mandan a llamar al teléfono. Lo chistoso es qu… https://t.co/A64U860bA7,0
@C5_CDMX @AICM_mx @GobCDMX @RedFM921 @SergioyLupita @RedVialRC @ImagenTVMex @asilascosasw @CiroGomezL @MrElDiablo8… https://t.co/AEWuJpRwiY,0
"Así fue el accidente del vuelo 5022 de Spanair, el más letal en España en 2 décadas [VIDEO] https://t.co/cZBhzfEeki",1
Hoy hace 90 años que Iberia levantó el vuelo y unió Madrid y Barcelona https://t.co/uwku00eqi5,1
Mañana regresamos a casa a pasar las fiestas y @MatiServedia no podrá comer nada porque @Iberia no le puede ofrecer… https://t.co/sX1kZjIDMb,0
"@vmm7773 Pues ya sabes, Iberia y billete cerrado.",1
@Milenio @Iberia @Iberia_en @IberiaPromos IBERIA PERDIÓ MI MALETA HACE 5 DIAS CON MIS MEDICAMENTOS ADENTRO Y NO ME… https://t.co/RzOqW8p6oJ,0
"@Iberia Qué buenos tiempos del B-747, el avión por excelencia. Volveremos a verlo de nuevo en IB?",1
Vergonzoso. @Iberia cancela el vuelo Chicago-Madrid del 21 de diciembre porque si. Y a los que viajamos para un par… https://t.co/tNJivzcrTl,0
@Rayv_ @DcgDidi @JouiChange @SindyTakanashi @Desahogada @Ryanair_ES ¿Cuándo he dicho yo que Ryanair haya actuado bi… https://t.co/2Xe1MeAGbV,0
"El Black Friday, también en Iberia https://t.co/LzM6NuNXiq",1
"Pués, fué tan desagradable que yo no gastaría dinero en IBERIA.",0
Un pasajero sale por la puerta de emergencia de un avion de Ryanair cansado de esperar mas de una hora https://t.co/vQcdczONjB,0
@Iberia RT POR FAVOR: PASAJEROS QUE IBERIA LES DEMORA LA DEVOLUCION DEL DINERO. JODAMOSLOS. RETUITEEMOS y COMPARTAM… https://t.co/7PpZ0N5j1w,0
@Luci_rodg @Iberia Jajajajajja llevate el pasaporte también lu,1
"@unchinodechina 

¿Me ayudas a difundir, por favor? https://t.co/krWIY6quOv",1
@OverflightStorm @controladores Yo he volado en vuelos de Niki que operaba Air Berlín. Había una colaboración estre… https://t.co/sCSFYsGzdP,1
"@Iberia No atiende las reclamaciones de indemnización por retraso superior a tres horas, a pesar de saber que TIENE… https://t.co/qNrBptSeDo",0
Me consta que es una vergüenza. https://t.co/bkzqzs8POC,0
@Sr_JOF @Titan123TJ @_LaCompagnie @Iberia A mi me suena que hace tiempo llevó al Barça desde El Prat a un amistoso en el Golfo.,1
"@gatm80 @loobos Calera (Iberia lo apoya) fue al TAS, para que el descenso sea para el colista del transición y no del promedio, como ahora",1
@luismipedrero @laventana @PodiumPodcast @Iberia Mil gracias Luis 😘😘😘,1
"Qué placer viajar con Ryanair
La nueva política de equipajes de Ryanair entrará en vigor el próximo mes… https://t.co/D65rdXpus8",1
"Hola @Iberia. He hecho check in con la app, después de muchos meses y la experiencia ha sido brutalmente buena. 👌🙂👏🏻",1
@ALSA_Autobuses Hola! Mi vuelo Viena-Madrid va a salir con 15 minutos de retraso gracias a @Iberia Tengo un billete… https://t.co/cxE2qXR5y3,0
"@mewimausi Ahorrar está sobrevalorado, a mi Ryanair me está poniendo ojitos",1
@Ryanair me siento estafado,0
Deberían quitarles la licencia y que sean otras compañías más serias las que ocupen su lugar. https://t.co/sMqaSkFwfe,0
Ryanair pide a sus #pilotos que abandonen sus planes de #huelga https://t.co/pw1HBEZDsz @Ryanair_ES,0
@mariajo_suarez @Iberia Yo puse una reclamación una vez porque @Iberia me metió en un avión que parecía de la Primera Guerra Mundial!!!!,0
@Iberia @favio_castro Felicitaciones,1
@Eduspalace @Fjlopezm @Iberia Buen despegue!!. A veces veo spotters en esa zona,1
"IAG transportó un 4,1% más de pasajeros en 2017 gracias al empuje de Iberia https://t.co/X5HJCnkxKY",1
@Iberia Felices fiestas!!! Es una pena que ya los venezolanos no podamos volar con ustedes. Mi experiencia siempre… https://t.co/tqImpDY5TE,1
"Antonio Baldellou, nuevo Director de Instalaciones Existentes y Modernizaciones de Schindler Iberia - Recursos Huma… https://t.co/3XVz4hQcnj",1
Iberia Tripulante de Cabina de Pasajeros https://t.co/G7hIVlD49d,1
Primer vuelo de mi vida perdido gracias a la ayuda de @Ryanair @RyanairFlights #worstflightcompany,0
Hoy iberia cumple 90 años de su primer vuelo. Felicidades!!!! #AvGeek #PasionPorLaAviacion en… https://t.co/R2qokS2b6t,1
"Descubre Shanghai, Vuelo Directo con Iberia, 5 días desde 963€ Tax Includ https://t.co/3i2tQ6PHY4",0
Los de Ryanair son un poco guarretes jajaja no volaba cn ellos ni aunque me pagaran. https://t.co/rFm7BsKggZ vía @CincoDiascom,0
"Iberia ampliará sus vuelos semanales a Buenos Aires.
https://t.co/CbpAiN1mcp https://t.co/st87rdwiTg",1
"@Iberia dos asientos juntos. Pueden explicarme si es la nueva política de Iberia para fidelizar clientes? Y si puedo arreglarlo.
Gracias",1
Gracias @Iberia por el regalazo de navidad! 🎄🎁 #Upgrade a #Business en un vuelo de 10 horas no tiene precio! 🙏🏻,1
"Así fue el accidente del vuelo 5022 de Spanair, el más letal en España en 2 décadas [VIDEO] https://t.co/eiq5JFzWJh",0
"@idoyananin @Iberia Idoya, esperemos que no. Al menos ponen de su parte en solucionarlo :)",1
@Ryanair Madrid.,1
@Iberia buenas noche🌟🌟 https://t.co/ry0HJYzHDg,1
@Zane_GH Pues menudo timo @Zane_GH @ibexpress_help @iberiaexpress @Iberia,0
@SilOsitos @Iberia Que verguenza! Dentro de lo malo quedo en un aeropuerto donde maneja el idioma. Que la puedas abrazar pronto.,0
"Ryanair y United, peores aerolíneas de 2017 según la consultora brintánica Which?
https://t.co/qDrAIaOtp3",0
"@CarlosRierx Pero es la mejor, no se, con Iberia ya había pasado arrechera. Con AA todo fue bello",1
"EL SALVADOR y DIPUTADOS no abren el espacio aereo a las AEROLINEAS como RyanAir 
Mira los precios desde Madrid...
https://t.co/qTXE3opfuP",1
"Ale, a Gatwick.

Iberia, panda de INÚTILES REDOMADOS",0
